агглиутинaциа	агглютинaция
аҟәата	мятый
аҟәата	размяклый
аҟәата	эластичный
арҟьацы	мятый
аидырҟьаҟьала	мятый
ампыл хәыҷы	мячик
ацҵатә	набавочный
ацҵатә	придаточный
ацҵатә	слагаемое
ацҵатә	стаканный
алабашьахы	набалдашник
арқьынцыц	набалованный
арчачат	набалованный
аашьахара	набаловаться
ақьынцыцхара	набаловаться
ақьынцыцхара	разбаловаться
ақьынцыцхара	разнежиться
ачачатхара	набаловаться
ачачатхара	разбаловаться
изхара ақаџькра	набаловаться
ашәарҭара ардырратә	набатный
азхара абақьра	набахвалиться
азхара аҩра	набегаться
азхара аҩра	написаться
агәаҟра ахгара	набедоваться
агәаҟра ахгара	намытариться
агәаҟра ахгара	перестрадать
амашәыр ампыҵҟьара	набедокурить
ирнааны	небекрень
ирнааны	накось
ахаҿы ашәра	набелиться
азхара аҽырхагара	набеситься
аҭаџьгәаратә	набивной
аҭаџьгәаратә	набивочный
аҭаџьгәаратә	пробивочный
аҭаџьгәагәа	набивной
адчаԥалатә	набивной
адчаԥалатә	обшивной
иадырчаԥалоу	набивной
иахарҵо	набивной
иахарчаԥо	набивной
акьыԥхь аархаратә	набивной
кәапеишәа аҭәра	набиться
ахылаԥшралшара	наблюдаемость
алаԥш аҵашәара	наблюдать
алаԥш аҵашәара	улавливание
алаԥш аҵашәара	уловить
аҵачаԥатә	набоечный
аҵачаԥатә	подбойный
акьыԥхьтә	набоечный
акьыԥхьтә	печатный
анцәа дхаҵо	набожно
анаԥшҩы	наблюдатель
ахылаԥшыга	наблюдатель
аҵачаԥа	набойка
аҵачаԥа	подбивка
аҵачаԥа	подбой
акьыԥхьра	набойка
акьыԥхьра	натискать
акьыԥхьра	опубликование
акьыԥхьра	опубликовать
акьыԥхьра	отпечатать
акьыԥхьра	отпечатывание
акьыԥхьра	отстукать
акьыԥхьра	печатание
акьыԥхьра	печатать
акьыԥхьра	печататься
акьыԥхьра	печать
акьыԥхьра	помеха
акьыԥхьра	пропечатать
акьыԥхьра	пропечатать
акьыԥхьра	публикация
акьыԥхьра	публиковать
акьыԥхьра	распечатка
акьыԥхьра	тиражирование
акьыԥхьра	тиражировать
акьыԥхьра	тискать
ахацалатә	набойный
чаԥатә	наблюдательно
икылкааны ацклаԥшра	наблюдательность
анаԥшратә	наблюдательный
аԥыԥшратә	наблюдательный
аԥыԥшратә	патрульный
амцхә аҳәара	наболтать
амцхә аҳәара	нагон
амцхә аҳәара	натрепать
иакәым аҳәара	наболтать
азхара абарбарра	наболтаться
аҟәынақәа	набор
анабанҟәшәара	набор
аҟәшәаратә	наборный
аизгатә	наборный
наборонить	набороновать
азхара ақәԥара	набороться
анбанҟәшәаҩтә	наборщицкий
ирацәаны абракьра	набраковать
азхара ацәҳара	набраниться
азхара ацәҳара	наругаться
аџьоуҳарркра	набрать
анбанҟәшәара	набрать
ашьақәгылазаара	набраться
ашьақәгылазаара	установиться
амч ҭалара	набраться
аҿаҳара	набрести
аҿаҳара	наклюнуться
аҿаҳара	нарваться
аҿаҳара	наткнуться
аҿаҳара	натолкнуться
аҿаҳара	немота
аҿаҳара	онемелость
ахаҿы ааира	набрести
ахаҿы ааира	напрашиваться
ахаҿы ааира	озарение
ахаҿы ааира	озарить
ахаҿы ааира	озариться
ахаҿы ааира	подуматься
ахаҿы ааира	предубеждение
ахаҿы ааира	предстать
ахаҿы ааира	придуматься
ахаҿы ааира	раскумекать
ахаҿы ааира	снизойти
ахаҿы ааира	сообразить
азхара аныҟәара	набродиться
азхара аныҟәара	натопаться
набронзировать	набронзировывать
адаҟьахыԥшыла	набросать
амгәацәатә	набрюшный
ашәхарԥара	набрюшный
ашәхарԥара	надёрнуть
ашәхарԥара	накрыться
ашәхарԥара	прикидка
ашәхарԥара	прикидывание
ашәхарԥара	прикинуть
аиҿаршәра	набрюшный
аиҿаршәра	переплетание
агәыдлара	наброситься
агәыдлара	накинуться
агәыдлара	наседать
агәыдлара	обрушиться
агәақәкра	наброситься
агәақәкра	прилежание
агәақәкра	прилежность
агәақәкра	усредие
агәақәкра	усердность
агәадкылара	наброситься
агәадкылара	прилежание
агәадкылара	прилежность
агәадкылара	усредие
агәадкылара	усердствовать
уҽазҵәылхны ашьҭалара	наброситься
иӡлачу	набряклый
иҭчаау	набряклый
иҭчаау	набухлый
иҭчаау	одутловатый
набуравить	набуравливать
аиқәжьра	навалка
набухнуть	набухать
икылчаау	набухлый
икылчаау	напухлый
икылчаау	одутловатый
шәыгеиқәаҵәала ашәра	наваксить
аиқәырчаҟәара	наваливание
аиқәырчаҟәара	нагромоздить
аиқәырчаҟәара	перемётывание
аиқәырчаҟәара	скормить
ирацәаҩны аизара	навалить
икажьуп	навалом
азхара аиара	наваляться
азхара аиара	належаться
аиҵарԥхьажәпа	наваристый
ирацәаны арҭәара	навернуть
иҿыбаау	наварной
иадырҭәалоу	наварной
ацәашьаршьркра	наващивание
акылҳәара	навезти
акылҳәара	наводнение
акылҳәара	наводнить
наверное	наверно
аахаддылара	навернуться
аахаддылара	подкатить
ахаҟәҟәалара	навернуться
аахажжылара	навернуться
адаҟьаеиқәыршәара	наверстать
ирҵәины ахаҵара	навертеть
ҩхала	наверху
аҿхыб	навес
аҿхыб	свес
аҿхыб	сень
аҿхыб	шатёр
аҭамԥ	навес
иқьаф ҭаҵаны	навеселе
ахшыҩ ҭартәара	навеска
амцхадҵара	навет
м ацәгьаҳәаҩ	наветник
аҿхыбтә	навесный
аԥыҳәҳәатә	навесный
ананыратә	наветчик
икнарҳауа	навесный
наунагӡа	навечно
наунагӡа	навсегда
азцәырнагара	навеять
азцәырнагара	нагнать
азцәырнагара	пробудиться
уахьихәаԥшуа	навзгляд
уахьихәаԥшуа	наружно
зқәала	навзничь
зқәала	оплечь
изқәа дықәҳаит	навзничь
уеиҵақьны	навзрыд
акьажыҳәа	навзрыд
акьажыҳәа аҵәыуара	навзрыд
архәыцра	навивальный
агәаларашәара	навивальный
ахы аҭашәара	навивальный
азхьарԥшра	навивальный
азхьарԥшра	переключить
навести	навивальный
навить	навивать
анавигатор	навигатор
анавигациа	навигация
аӷбаныҟәара	навигация
аӷбаныҟәара	пароходство
акырбара	навидаться
азхара аҿыжра	навизжаться
аҷҟарапат ду	навильник
наврать	навирать
ахьыссара	нависание
ахьыссара	нависнуть
аҭассра	нависание
аҭассра	нависнуть
ахакнаҳазаара	нависание
ахакнаҳазаара	нависнуть
ахакнаҳазаара	свисание
ахакнаҳазаара	свисать
ахаԥа	навислый
ахаԥа	навись
иахаԥоу	навислый
иахаԥоу	нависший
иахаԥоу	нависший
ахакнаҳа	навислый
ахакнаҳа	навись
иахакнаҳау	навислый
иахакнаҳау	нависший
аҭассы	навислый
иҭассу	навислый
ахьынҳалазаара	нависнуть
ахьынҳалазаара	отвиснуть
ахьынҳалазаара	свеситься
ахьынҳалазаара	свисание
ахьынҳалазаара	свисать
иҭассыу	нависший
икнаҳау	нависший
икнаҳау	подвесной
иахьынҳалоу	нависший
ақәкҩы	наводчик
акылыԥшҩы	наводчик
уқәзырԥшуа	наводящий
азхара аибашьра	навоеваться
ауац	навоз
ауац	навозный
ауац	назём
уацла арҵәра	навозить
аҽҟьырбылгьа	навозник
ауацҵәахырҭа	навозохранилище
ауацшьҭаҵарҭа	навозохранилище
аԥҭа	наволок
аԥҭа	облако
аԥсҭҳәа	наволок
аԥсҭҳәа	туман
аԥсҭҳәа	туча
аԥсҭҳәа	хмарь
наволочь	наволочить
ахчыхҟьа	наволочка
ахчыхҟьа	наперник
ахчыхҟьатә	наволочный
афҩы аргара	навонять
афҩы аргара	проворчать
наворожить	навораживать
наворовать	наваровывать
ишабалак аиқәыжьра	наворотить
иаарҳәны аиқәыжьра	наворошить
ақәгәамҵра	наворчать
азыманшәалахара	навостриться
азыманшәалахара	налиться
агха аиура	наврать
агха аиура	описаться
аԥхасҭа аҭара	навредить
аԥхасҭа аҭара	потрава
аԥхасҭа аҭара	потравить
аԥхасҭа аҭара	пощипать
аԥхасҭа аҭара	пощипывание
иаарҳәны	навыворот
иаарҳәны	наизнанку
иаарҳәны	наоборот
иаарҳәны	напротив
иаарҳәны	перелицовка
аԥышәа	навык
аԥышәа	неопытный
аԥышәа	опыт
аԥышәа	тест
аԥышәа	эмпирика
аԥышәа	эмпирия
иақәҵаны	навыпуск
иҭамҵаӡакәа	навыпуск
адҳәалара	навязка
адҳәалара	подстегнуть
адҳәалара	подторочить
адҳәалара	подцепить
адҳәалара	подцепка
адҳәалара	привязать
адҳәалара	привязка
адҳәалара	привязывание
адҳәалара	принайтовить
адҳәалара	притянуть
адҳәалара	прихлестнуть
адҳәалара	прицепить
адҳәалара	увязать
адҳәалара	увязать
дӷанҵкуа	навязчиво
дӷазкуа	навязчиво
азхара аҵәыуара	навыться
азхара аҵәыуара	наплакаться
азхара аҵәыуара	нареветься
аӷанҵкра	навязчивость
аӷазкра	навязчивость
аӷанҵкы	навязчивый
аидара аҵалара	навьючиться
ишуҭахым аҭара	навязать
ишуҭахым аҭара	навязывание
ирацәаны аԥара	навязать
ирацәаны аҿаҳәара	навязать
ирацәаны аҿаҳәара	навязывание
иузхамыршҭуа	навязать
мрала арҩара	навяливание
мрала арҩара	обвяление
мрала арҩара	обвялить
анаган	наган
анагантапанча	наган
анагантә	наганный
афҭил хыблааха	нагар
иҟәу	нагбенный
абаскаҵәымӷ	нагель
абаскаҵәымӷ	нагельный
алартҟаҵәымӷ	нагель
алартҟаҵәымӷ	нагельный
амҿтәы ҵәымӷ	нагель
амҿтәы ҵәымӷ	нагельный
ибзианы ауанҭара	нагладить
ибзианы ауанҭара	разутюжить
инықәырԥшшәа	на глаз
инықәырԥшшәа	ориентировочно
инықәырԥшшәа	приблизительно
инықәырԥшшәа	примениться
инықәырԥшшәа	слегка
алаԥырак	наглазник
алаԥырак	шоры
акәаӷхара	наглеть
ахамаԥагьахара	наглеть
аҵәӷәыцәра	наглеть
аҵәӷәыцәра	развязность
акәаӷ	наглец
акәаӷ	наглый
дкәаӷӡа	нагло
маҷк икәаӷны	нагловато
маҷк ихамаԥагьоу	нагловатый
маҷк икәаӷу	нагловатый
акәаӷра	наглость
апаӷьра	наглость
апаӷьра	нахальничать
апаӷьра	нахальность
апаӷьра	наушничать
азхара ахырҟәыҿра	наглодаться
гаӡарала ахымҩаԥгара	наглупить
иҵарԥшьыхаа	наглухо
иҵарбаҟа	наглухо
иҵарҟаца	наглухо
амхарацәазаара	наглый
азхара абара	наглядеться
азхара абара	налюбоваться
азхара абара	насытить
азхара абара	пресытиться
алабҿабара	наглядность
алабҿабара	очевидность
алабҿабара	реальность
алабҿабара	явность
лабҿабатәи	наглядный
аҽахьыгӡара	нагнать
аҽахьыгӡара	нагон
аҽахьыгӡара	поспеть
аҽахьыгӡара	приспеть
аҽахьыгӡара	раскинуться
аҽахьыгӡара	расползтись
аҽахьыгӡара	распространиться
азаанагара	нагнать
дпаӷьӡа	нагнать
аҭарчратә	нагнетательный
ахҭәасааратә	нагноительный
ахьырхәара	нагнуть
ахьырхәара	пригнуть
ахьырхәара	приклонить
алаҟәра	нагнуться
алаҟәра	наклониться
алаҟәра	опускание
алаҟәра	опуститься
алаҟәра	опущение
алаҟәра	оседание
алаҟәра	падать
алаҟәра	падать
алаҟәра	покачнуться
алаҟәра	поколебаться
алаҟәра	понижение
алаҟәра	понизиться
алаҟәра	понизиться
алаҟәра	потупиться
алаҟәра	приклониться
алаҟәра	принижение
алаҟәра	приниженность
алаҟәра	принизиться
алаҟәра	приникнуть
алаҟәра	припасть
алаҟәра	просадка
алаҟәра	проседание
алаҟәра	просесть
алаҟәра	рассесться
алаҟәра	свалиться
алаҟәра	свеситься
алаҟәра	сгущение
алаҟәра	склонение
алаҟәра	склониться
алаҟәра	снижение
алаҟәра	снизиться
алаҟәра	спад
алаҟәра	угнуться
алаҟәра	унизительность
алаҟәра	упасть
аҽыларҟәра	нагнуться
аҽыларҟәра	наклониться
аҽыларҟәра	перегнуться
аҽыларҟәра	преклониться
аҽыларҟәра	самоумаление
аҽыларҟәра	самоунижение
аҽыларҟәра	свалиться
аҽыларҟәра	свеситься
аҽыларҟәра	склониться
аҽыларҟәра	снижение
аҽыларҟәра	унизиться
абжьы аҭаҩра	нагнуться
узхара ацәажәара	наговориться
изыҭәҳәаз	наговорный
иҭԥаа	голо
иҭкәыцәаа	голо
ҳәаҭыхла	голо
ипашӡа	голо
аизцара	нагон
аизцара	сгон
аизцара	согнать
аизцара	столпить
ахыблаара	нагорание
ахыблаара	нагореть
ахыблаара	обгореть
ахыблаара	обзор
ахыблаара	обугливание
ахыблаара	обуглить
ахыблаара	обуглиться
ахыблаара	пригореть
ахыблаара	пригонка
ахыблаара	пригорание
ахыблаара	прижечь
ахыблаара	прижигание
ахыблаара	припалить
ахыблаара	прогар
нагореть	нагорать
ахыблаа	нагорелый
ахыблаа	обгорелый
иаб иқәиршәеит	нагореть
аҿаҩатә	нагорный
ашьхарԥытә	нагорный
ашьхарԥытә	подгорный
ашьхарԥытә	подгорье
ашьхеиуыжьра	нагородить
азхара аҭаара	нагоститься
сасра аанхацәара	нагоститься
аҟьантазра	нагота
аҟьантазра	оголённость
ацәҳәынтаԥсра	нагота
наготовить	наготавливать
уҽырхианы	наготове
уҽырхианы	наизготове
ирхианы	наготове
ирхианы	наизготове
уазхианы	наготове
ирацәаны агара	награбастать
қәыларыла игоу	награбленное
анашьамҭа аҭара	наградить
анашьамҭатә	наградной
наградить	награждать
анашьамҭаҭара	награждение
арқцақәа аҭара	награнить
аиқәчаҟәара	нагромоздиться
аҽеизыҳәҳәара	нагромоздиться
аршыгатә	нагревательный
нагреть	нагревать
ирԥхоу	нагретый
ҩысҭаарыла арзаралра	нагреть
аҟәандара	нагреться
аҟәандара	температура
аҟәандара	теплота
агрим ахьшьра	нагримировать
агрим ахьшьра	нагримироваться
агәышԥыхьчага	нагрудник
агәышԥыхҩага	нагрудник
ашԥырха	нагрудник
ашԥырха	шлея
агәытә	нагрудный
агәытә	сердцевинный
агәытә	ядровый
агәышԥ	нагрудный
агәышԥтәы	нагрудный
аидарақәҵара	нагрузка
амчхареидара	нагрузка
иахьиртатеит	нагрязнить
ушымгәыӷӡо азнеира	нагрянуть
ачахра	нагул
ачахра	окармливание
ачахра	откармливание
ачахра	откорм
ачахра	откормить
ачахра	откормка
ачахра	раскормить
ачахратә	нагульный
ажькра	нагулять
ачаххара	нагулять
надбавить	надбавлять
иацҵоу	надбавочный
аӡхықәтәи	надбережный
аҟәараҿтәи	надбережный
амырҷара	надбить
амырҷара	отщепить
амырҷара	скалывание
амырҷара	скол
амырҷара	щепать
амырҷара	щипок
аџьымшьхыхь	надбровье
иахалоу	надвижной
иахоуҵоу	надвижной
ахаршьшьра	надвинуть
ахаршьшьра	напустить
ахаршьшьра	напялить
ахаршьшьра	нахлобучить
уагәҭасны аизааигәатәра	надвинуть
ахашьшьра	надвинуться
ахашьшьра	налезть
ахашьшьра	нахлобучиться
аизааигәахара	надвинуться
аизааигәахара	подружиться
аизааигәахара	притереться
аизааигәахара	родниться
аизааигәахара	сближение
аизааигәахара	сблизиться
аизааигәахара	сдвигание
аизааигәахара	сдвижка
аизааигәахара	сдружиться
аизааигәахара	снюхаться
аизааигәахара	сойти
аизааигәахара	сродниться
аӡхыхьуаҩ	надводник
аҽеиҩнашеит	надвое
агәараҩныҵҟатәи	надворный
амӡырхаҩныҵҟатәи	надворный
амӡырха	надёжность
ахаԥшьра	надвязать
ахаԥшьра	надвязка
ахаԥшьра	надвязывание
ахаԥшьра	надставить
ахаԥшьра	надставка
ахаԥшьра	надшивание
ахаԥшьра	надшить
ахаԥшьра	нарастить
ахаԥшьра	наращение
ахаԥшьра	наставить
игәрагоу	надёжный
алақҭахыхьтәи	надглазничный
аблахыхьтәи	надглазный
аҟырҟхагыла	надглоточник
аҟырҟхагыла	надгортанник
аҟырҟхыхьтәи	надглоточный
аҟырҟхыхьтәи	надгортанный
ахәлымшәахыхьтәи	надглоточный
ахәлымшәахыхьтәи	надгортанный
ақьашана	надгробие
ақьашана	обелиск
анышәынҭрахаҳә	надгробие
агәышԥхыхьтәи	надгрудный
ахыфаара	надгрызть
ахыфаара	надкусать
ахыфаара	надкусывание
ахыфаара	надъесть
ахыфаара	обгрызть
ахыфаара	объесть
ашәҵашәых	надёванный
ашәҵашәых	ношеный
ашәҵашәых	отрёпки
ашәҵашәых	рубище
ашәҵашәых	рухлядь
ашәҵашәых	старьё
ашәҵашәых	тряпьё
уақәгәыӷыртә	надёжно
уақәгәыӷыртә	живание
анадел	надел
азшара	наделение
азшара	наделить
азшара	оделить
азшара	поделить
азшара	распределение
азшара	распределить
анаделтә	надельный
ашьхарԥара	надёрнуть
ахаркьакьара	здный
ахаркьакьара	наколоть
ахаркьакьара	наткнуть
ахаркьакьара	нашпилить
ахаркьакьара	сажание
ахаркьакьара	сажать
аҟәынҵара	здный
аҟәынҵара	увешать
азбзиахара	надеться
азбзиахара	подойти
азбзиахара	предрасположение
анышәхыхьтәи	надземный
анышәхыхьтәи	надпочвенный
ахылаԥшцәа	надзор
ахаԥыцхыхьтәи	надзубный
акыр аџьшьара	надивиться
акыр алакәшьара	надивиться
уаԥхьо арыҩра	надиктовать
арҷара	надкалывание
арҷара	надкол
арҷара	надколоть
арҷара	щепать
аклассхыхьтәи	надклассовый
ԥыцла аҭыфаара	надклюнуть
алтәжәҩахыхьтәи	надключичный
ацәахҟьа	надкожица
ацәахҟьа	суперобложка
арҷасҭа	надкол
арҷасҭа	расщеп
аршьшьарсҭа	надкол
адырдхабаҩ	надколенник
ашьамхыхыхьтәи	надколенный
аҷара	надколоться
аҷара	треск
аҷара	трескание
абаҩцәа	надкостница
абаҩцәатә	надкостничный
абаҩхыхьтәи	надкостный
амҵәыжәҩахьчага	надкрылья
уацҳан амхра	надкусить
уацҳан амхра	надъесть
надкусить	надкусывать
бжаԥҵәара аԥҵәара	надламывание
бжаԥҵәара аԥҵәара	надламывать
бжаԥҵәара аԥҵәара	надламываться
бжаԥҵәара аԥҵәара	надломить
бжаԥҵәара аԥҵәара	надломиться
ахәҭазаара	надлежать
ахәҭазаара	надобность
ахәҭазаара	необходимость
ахәҭазаара	подобать
ахәҭазаара	полагаться
ахәҭазаара	положиться
ахәҭазаара	слагаемое
ахәҭазаара	стоить
ахәҭазаара	уместность
аҽхәҭыԥхыхьтәи	надлобковый
алахьырха	надлобник
алахьырха	налобник
алахьхыхьтәи	надлобный
абжаԥҵәара	надлом
абжаԥҵәарсҭа	надлом
аҵшәаара	надломить
аҵшәаара	подорвать
аҵшәаара	поколебать
аҵшәаара	размыв
аҵшәаара	расшатать
арҟәырра	надломить
аҟәры	надломленный
надоедливо	надоедно
агәахы аԥҵәара	надоесть
агәақәԥҵәара	надоесть
агәақәҿыӷьра	надоесть
иҽырхықәымҵаны	надменно
иҽырхықәымҵаны	фамилярно
дзажәӡа	надоить
дзажәӡа	самонадеянно
ицәа дҭачы	надоить
дпаџьӡа	надоить
апаџьра	надменность
апаџьра	сперва
апаџьра	спесивость
азажәра	надменность
азажәра	надутость
ацәаҭачра	надменность
ацәаҭачра	спесивость
ацәаҭачра	спесь
апаџь	надменный
апаџь	спесивый
азажә	надменный
азажә	форсистый
азажә	форсун
ацәаҭачы	надменный
ацәаҭачы	спесивец
ацәаҭачы	спесивый
амҩаҿықәшьаҟа	надолба
амҩакыгашьаҟа	надолба
акылҟҟара	надолбить
ауал рацәаныақәҵара	надолжать
иаҭахуп	надо
иаҭахуп	нелишне
иаҭахуп	необходимо
иаҭахуп	нужно
аҩнусуҩ	надомник
аҩнусура	надомничество
аԥҭахыхьтәи	надоблачный
маҷк иԥжәоу	надорванный
аҷапанкашәара	надорваться
арҟәышра	надоумить
арҟәышра	образумить
арҟәышра	образумление
акыӷәрахыхьтәи	надпалубный
аххәархьаара	надпил
аххәархьаара	надпилить
аххәархьаара	надпилка
аххьархьаара	надпил
аххьархьаара	надпилить
аххьархьаара	надпилка
аххәархьаасҭа	надпил
аххьархьаасҭа	надпил
надпилить	надпиливать
ж ақәҩыра	надпись
адҩыла	надпись
адҩыла	надпись
анҵа	надпись
анҵа	надпись
ақәыҩра	надписывание
ақәыҩра	надписать
ақәыҩра	надписка
ақәыҩра	обводка
ақәыҩра	пронестись
ақәыҩра	разнестись
адгьылхыхьтәи	надпочвенный
аҷаҷахыхьтәи	надпочечный
аҷаҷахы	надпочечники
аҷаҷахыхьтәи ауаталақәа	надпочечники
надраить	надраивать
аҿаԥҟара	надрез
аҿаԥҟара	надрезание
аҿаԥҟара	надрезать
аҿаԥҟара	надрезывание
аҿаԥҟара	надруб
аҿаԥҟара	надрубание
аҿаԥҟара	надрубить
аҿаԥҟасҭа	надрез
аҿаԥҟасҭа	надруб
аҿаԥҟасҭа	надсечка
ахҵәасҭа	надрез
ахҵәасҭа	перерез
аԥҟасҭа	надрез
аԥҟасҭа	нарез
аԥҟасҭа	переруб
аԥҟасҭа	сруб
ибжьоу	надрессированный
ибжьоу	приручённый
имч еизыркәкәа	надсадисто
имч еизыркәкәа	надсадно
ишилшо	надсадисто
ишилшо	надсада
ишилшо	надсадно
ишимчу	надсадисто
ишимчу	надсада
ишимчу	надсадно
хәымгарыла азныҟәара	надругательство
хәымгарыла азныҟәара	надругаться
аԥжәарҭа	надрыв
надорвать	надрывать
ахаԥсырабара	надрываться
арҵәаабжьы	надрывный
ақәыртатара	надрызгать
ақәыртатара	наляпать
ақәыртатара	намазывание
ицәгьоуп	надсадно
ицәгьоуп	палатализованный
ицәгьоуп	трудно
ицәгьоуп	худо
изыцәгьоуп	надсадно
изыцәгьоуп	нелегко
ахәызхәызҳәа	надсадный
ишулшо аҳәҳәара	надсаживаться
маҷк арҟьара	надсекание
аҵкәарсҭа	надсечка
ахаԥшьы	надувала
ахаԥшьы	надставной
ахаԥшьы	наращение
ахаԥшьы	наставка
ахаԥшьы	наставной
ахаргылаҩ	надстройщик
амцәаара	надтёс
амцәаара	надтесать
амцәаара	надтёсывание
амцәаара	подтесать
амцәаара	подтёска
амцәаара	подтёсывание
амцәаара	стесать
ахцәаара	надтёс
ахцәаара	надтесать
ахцәаара	надтёсывание
ацәырсҭа	надтёс
амцәаасҭа	надтёс
авцәаарсҭа	надтёс
иҷҷоу	надтреснутый
маҷк аҷҷара	надтреснуть
аҭарчҩы	надувальщик
арчратә	надувательный
арчыгатә	надувательный
аԥсыԥ зҭадырчуа	надувной
арчы	надувной
аԥсыԥмпыл	надувной
аԥсыԥҭарчыга	надувочный
аԥсыԥҭарчыга	насос
агәыцәхарԥа	надульник
ахҭашәара	надуматься
ахҭашәара	сверкнуть
ахҭашәара	утихнуть
азхара ахәмарра	надурачиться
азхара ахәмарра	ниаграться
азхара ахәмарра	нарезвиться
азхара ахәмарра	натешиться
агаӡарааҟаҵара	надурить
ичны	надуто
иҽырчны	надуто
иҽырчны	напыщенно
изажәу	надутый
зҽырчны иҟоу	надутый
игәаан иҟоу	надутый
аԥсыԥ аҭарчра	надуть
аԥсыԥ аҭарчра	надуться
аҩнаҳәара	наездиться
амцхә ажәра	надуться
амцхә ажәра	опиться
ақлыбсса	надфиль
аҵыхәахы	надхвостье
ахәдыррацәа	надхрящница
ашахтахыхьтәи	надшахтный
надшить	надшивать
ахаԥса	надшивка
ахаԥса	пронизь
абызхыхьтәи	надъязычный
алҩа ақәырчра	надымить
аԥхаԥсы аҩнаҵара	надышать
рхала	наедине
аанкыдгылара	наезд
ирацәаны аара	наезд
аҽыбжьаҩ	наездник
аҽыбжьаҩ	объездчик
аҽыбжьаҩ	подъездчик
аҽықәтәара	наездничество
аҽыбӷаҟазара	наездничество
аҽыбӷаҟазаратә	наездничий
аҽыбжьаратә	наездничий
акыдгылара	наезжать
акыдгылара	подчалить
илгоу	наезженный
илгоу	торный
илгоу	уезженный
ааиҩы	наезжий
ааиҩы	посетитель
иааиз	наезжий
ақьырара	наём
қьырала акра	наём
қьырала аанкылара	наём
ақьырауаҩ	мник
ақьырауаҩ	наймит
қьырала инкылоу	мник
қьырала инкылоу	нанятый
ақьыратә	наёмнический
ақьырауаҩтә	наёмнический
ақьырауаҩра	наёмничество
қьыралатәи	наёмный
қьыралатәи	прокатный
қьыралатәи	съёмный
қьырала ирыҭоу	наёмный
агаӡабызшәа аҳәара	наерундить
агаӡабызшәа аҳәара	наплести
агаӡабызшәа аҳәара	плести
агаӡабызшәа аҳәара	смолоть
амақьа џьаџьа	наждак
амақьа џьаџьатә	наждачный
аҭхаџьра	наесться
аҭхаџьра	насытить
аҭхаџьра	насыщение
ирацәаҩны раара	наехать
ааигәатәра	наехать
ирацәаны аџьра	нажарить
амалрҳа	нажива
амалқамса	нажива
нажить	наживать
ахьырԥшыга	наживка
ахьырԥшыга	приманка
наживить	наживлять
аназализациа	назализация
аназализациа	назализировать
аԥынҵатәра	наживной
ибылны аныхра	нажигание
ақәыӷәӷәага	нажимной
ақәыӷәӷәага	нажимный
ақәыӷәӷәага	прижимный
ачархыра	нажин
идырхыз ача	нажин
ирҳау	нажитой
азха рафара	нажраться
аԥынҵатәхара	нажраться
аназализациа зызуу	назализированый
иԥынҵатәхаз	назализированый
аназалтә	назальный
аназалра	назальность
ирацәаны аԥсахра	назанимать
ажәабжь алаҵара	названить
узхара аҿарҳасра	назеваться
назначение врача	наземный
игәкыдхгаха	назойливо
игәыфагаха	назойливо
асаара	назойливость
асаара	оземь
асаара дкаҳаит	назойливость
алабжьара	назидание
алабжьара	назидательность
алабжьара	наставление
алабжьара	наставничество
алабжьара	натаска
алабжьара	натаскать
алабжьара	натаскивание
алабжьара	нотация
алабжьара	нравоучение
алабжьара	поучать
алабжьара	поучение
алабжьара	совет
алабжьара	советовать
агәыфара	назидание
агәыфара	терзать
агәыфара	томогавк
дилабжьо	назидательно
алабжьаратә	назидательный
алабжьаратә	нравоучительный
азкызаара	назначение
азкызаара	посвящение
азкызаара	предназнечение
азкызаара	предназначить
аҭаҳаҭыӷьахара	назначение
аҭаҳаҭыӷьахара	назреть
назреть	назревать
назубрить	назубривать
ац аҭара	назубрить
ахьӡҳәара	называние
ахьӡҳәара	титулование
ахьӡҳәара	титуловать
назвать	называть
назвать	называть
ахьыӡҳәатә	назывной
арыхьҭышьра	назябнуть
ахьҭышьра	назябнуть
ахьҭышьра	озноб
ахьҭышьра	ознобить
ахьҭышьра	ознобиться
еиҳарак	наиболее
еиҳарак	особенно
еиҳарак	преимущественно
еиҳарак	сугубо
еиҳарак	чаще
еиҳараӡак	наиболее
агәрагацәара	наивничать
агәрагацәара	наивность
дҭаԥшақьаӡа	наивно
дҭаԥшақьаны	наивно
агәра игацәо	наивно
ҩба злам	наивный
ҩба злам	ненаказуемый
аҭаԥшақьа	наивняк
ихадаӡоу	наиглавнейший
иҵаулаӡоу	наиглубочайший
цәала	наигранный
иԥсабаратәым аччара	наигранный
хәмаррала арҳара	наиграть
аркәашага	наигрыш
акашәарах	найдёныш
акашәарах	подкидыш
ирқшаны	наизнанку
ирқшаны	напротив
иласӡоу	наилегчайший
иреиӷьӡоу	наилучший
иреиӷьӡоу	непревзойдённый
иреиҵаны	наименее
иреиҵаӡаны	наименее
зегьы иреиҵаны	наименее
ахьӡ аиура	наименовываться
ахьӡ аиура	наречься
ахьӡ аиура	прослыть
иреиҵаӡоу	наименьший
ашьҭаԥсра	наискаться
акыр аԥшаара	наискаться
ихьсааны	наискось
иреицәаӡоу	наихудший
шьапҿаршә азура	накаверзничать
шьапҿаршә азура	палка
шьапҿаршә азура	подсидеть
шьапҿаршә азура	подсидка
шьапҿаршә азура	подставить
аҵылаҵара	накаверзничать
ақәнагақәыршәара	наказание
ақәнагақәыршәара	наказать
ақәнагақәыршәара	наказывание
